序号,原书页码,原词条,lexeme_uid,lemma,pos,ipa,english,spanish,chinese,example_fr,example_en,example_es,example_zh,review_status
20,213,Albi,fr:albi:proper_noun:1,Albi,proper_noun,/al.bi/,"Albi (a town and commune, the prefecture of Tarn department, Occitania, in southern France)",Albi,阿尔比（法国城镇，位于塔恩省）,Je connais bien Albi.,I know Albi well.,Conozco bien Albi.,我很了解阿尔比。,machine-assisted
21,213,album,fr:album:noun:1,album,noun,/al.bɔm/,album (all meanings),álbum,影集，集邮册，纪念册；唱片集,On parle de l’album.,We are talking about it.,Estamos hablando de ello.,我们正在谈论影集。,machine-assisted
22,213,aller,fr:aller:verb:1,aller,verb,/a.le/,to go,ir,去，走；处于的健康状况；运转，进行，进展,Nous allons à l’école.,We are going to school.,Vamos a la escuela.,我们去学校。,seed-reviewed
23,213,aller,fr:aller:noun:1,aller,noun,/a.le/,outward trip; journey out; trip away,ida,去程（的火车、飞机）票,Voici l’aller.,Here it is.,Aquí está.,这是去程（的火车、飞机）票。,machine-assisted
24,213,aller-retour,fr:aller-retour:noun:1,aller-retour,noun,/a.le.ʁ(ə).tuʁ/,round trip,ida y vuelta,往返票,Voici l’aller-retour.,Here it is.,Aquí está.,这是往返票。,machine-assisted
25,213,allô,fr:allô:interjection:1,allô,interjection,/a.lo/,hello (when answering at the beginning of a call),hola; diga,喂！（打电话用语）,"Allô, je voudrais parler à Marie.","Hello, I would like to speak to Marie.","Diga, quisiera hablar con Marie.",你好，我想和玛丽通话。,machine-assisted
26,213,allumer,fr:allumer:verb:1,allumer,verb,/a.ly.me/,to turn on; to light,encender,点亮；（俗）打开（暖气、收音机、电视、电脑等）,Je vais allumer la lumière.,I am going to turn on the light.,Voy a encender la luz.,我要开灯。,machine-assisted
27,213,alors,fr:alors:adverb:1,alors,adverb,/a.lɔʁ/,then (at that time),entonces,那么，在这种情况下,"Alors, on commence ?","So, shall we start?","Entonces, ¿empezamos?",那么，我们开始吧？,machine-assisted
28,213,ami(e),fr:ami:noun:1,ami,noun,/a.mi/,friend,amigo; amiga,朋友,Mon amie habite à Paris.,My friend lives in Paris.,Mi amiga vive en París.,我的朋友住在巴黎。,seed-reviewed
29,213,petit ami,fr:petit ami:noun:1,petit ami,noun,/pə.ti.t‿a.mi/,boyfriend (boy/man to whom one has a romantic attachment),novio,男朋友,On parle des petit ami.,We are talking about it.,Estamos hablando de ello.,我们正在谈论男朋友。,machine-assisted
30,213,amour,fr:amour:noun:1,amour,noun,/a.muʁ/,love,amor,爱，爱情,Voici les amours.,Here it is.,Aquí está.,这些是爱。,machine-assisted
31,213,amoureux(euse),fr:amoureux:adjective:1,amoureux,adjective,/a.mu.ʁø/,love,amoroso,恋爱中的；爱情的,C’est quelque chose d’amoureux.,It is something love.,Es algo amoroso.,这是一件充满爱的事情。,machine-assisted
32,213,amuser(s'),fr:amuser:verb:1,amuser,verb,/a.my.ze/,"to amuse, to entertain",divertir,玩耍；娱乐,Je vais amuser les enfants.,I am going to amuse the children.,Voy a divertir a los niños.,我会逗孩子们开心。,machine-assisted
33,213,an,fr:an:noun:1,an,noun,/ɑ̃/,year,año,年；岁,On parle de l’an.,We are talking about it.,Estamos hablando de ello.,我们正在谈论年。,machine-assisted
34,213,ancien(ne),fr:ancien:adjective:1,ancien,adjective,/ɑ̃.sjɛ̃/,"old, former, ex- (no longer current)",antiguo o anciano,旧的，先前的,C’est quelque chose d’ancien.,"It is something old, former, ex- (no longer current).",Es algo antiguo o anciano.,这是件旧东西。,machine-assisted
35,213,année,fr:année:noun:1,année,noun,/a.ne/,year (period),año,年,On parle de l’année.,We are talking about it.,Estamos hablando de ello.,我们正在谈论年。,machine-assisted
36,213,Bonne année !,fr:bonne année:interjection:1,bonne année,interjection,/bɔ.n‿a.ne/,Happy New Year!,feliz año nuevo,新年好,Bonne année à toute la famille !,Happy New Year to the whole family!,¡Feliz Año Nuevo a toda la familia!,祝全家新年快乐！,machine-assisted
37,213,anniversaire,fr:anniversaire:noun:1,anniversaire,noun,/a.ni.vɛʁ.sɛʁ/,birthday,aniversario,生日,On parle de l’anniversaire.,We are talking about it.,Estamos hablando de ello.,我们正在谈论生日。,machine-assisted
38,213,annonce,fr:annonce:noun:1,annonce,noun,/a.nɔ̃s/,advertisement,anuncio,启事，告示，布告，公告,Voici l’annonce.,Here it is.,Aquí está.,这是启事。,machine-assisted
39,213,petite annonce,fr:petite annonce:noun:1,petite annonce,noun,/pə.ti.t‿a.nɔ̃s/,ellipsis of petite annonce classée (“a single classified advertisement”),anuncio clasificado,（报纸上的）启事（栏）广告（栏）,On parle des petite annonce.,We are talking about it.,Estamos hablando de ello.,我们正在谈论（报纸上的）启事（栏）广告（栏）。,machine-assisted
40,213,août,fr:août:noun:1,août,noun,/u/,August,agosto,八月,Paris est calme en août.,Paris is quiet in August.,París está tranquilo en agosto.,八月的巴黎很平静。,machine-assisted
41,213,appartement,fr:appartement:noun:1,appartement,noun,/a.paʁ.tə.mɑ̃/,"apartment, flat",departamento,公寓套房,On parle de l’appartement.,We are talking about it.,Estamos hablando de ello.,我们正在谈论公寓套房。,machine-assisted
42,213,appeler,fr:appeler:verb:1,appeler,verb,/a.p(ə).le/,to call (out),"llamar, invocar",称呼为；给（某人）打电话,Je vais appeler Marie.,I am going to call Marie.,Voy a llamar a Marie.,我要打电话给玛丽。,machine-assisted
43,213,s'appeler,fr:s'appeler:verb:1,s'appeler,verb,/saplˈe/,to be called; to have the name of,llamarse,名叫；互相通电话,Je m’appelle Louise.,My name is Louise.,Me llamo Louise.,我叫路易丝。,machine-assisted
44,213,apprendre,fr:apprendre:verb:1,apprendre,verb,/a.pʁɑ̃dʁ/,to learn,aprender,学习,Je vais apprendre le français.,I am going to learn French.,Voy a aprender francés.,我要学法语。,machine-assisted
45,213,après,fr:après:preposition:1,après,preposition,/a.pʁɛ/,"after, later than in time",después de,然后,Nous partons après le déjeuner.,We are leaving after lunch.,Nos vamos después del almuerzo.,午饭后我们出发。,machine-assisted
46,213,après-midi,fr:après-midi:noun:1,après-midi,noun,/a.pʁɛ.mi.di/,afternoon,tarde,下午,Voici les après-midi.,Here it is.,Aquí está.,这些是下午。,machine-assisted
47,213,aquarium,fr:aquarium:noun:1,aquarium,noun,/a.kwa.ʁjɔm/,aquarium,acuario,水族馆,On parle de l’aquarium.,We are talking about it.,Estamos hablando de ello.,我们正在谈论水族馆。,machine-assisted
48,213,arc,fr:arc:noun:1,arc,noun,/aʁk/,bow (weapon),ARC,弓,Voici l’arc.,Here it is.,Aquí está.,这是弓。,machine-assisted
49,213,arc de triomphe,fr:arc de triomphe:noun:1,arc de triomphe,noun,/aʁk də tʁi.jɔ̃f/,"triumphal arch (monumental arch commemorating a triumph, such as a military victory)",arco de triunfo,凯旋门,On parle des arc de triomphe.,We are talking about it.,Estamos hablando de ello.,我们正在谈论凯旋门。,machine-assisted
50,213,Arcachon,fr:arcachon:proper_noun:1,Arcachon,proper_noun,/aʁ.ka.ʃɔ̃/,"a commune of Gironde department, France",Arcachón,阿卡雄（法国）,Je connais bien Arcachon.,"I know a commune of Gironde department, France well.",Conozco bien Arcachón.,我很了解阿卡雄。,machine-assisted
51,213,archéologie,fr:archéologie:noun:1,archéologie,noun,/aʁ.ke.ɔ.lɔ.ʒi/,archaeology (scientific study of past remains),arqueología,考古学,Voici l’archéologie.,Here it is.,Aquí está.,这是考古学。,machine-assisted
52,213,argent,fr:argent:noun:1,argent,noun,/aʁ.ʒɑ̃/,silver,dinero,银，白银；钱,On parle de l’argent.,We are talking about it.,Estamos hablando de ello.,我们正在谈论银。,machine-assisted
53,213,arrêter,fr:arrêter:verb:1,arrêter,verb,/a.ʁɛ.te/,"to stop, to come to a standstill; to halt, to stop from moving",parar; detener,停止,Le bus va s’arrêter devant la gare.,The bus is going to stop in front of the station.,El autobús va a parar delante de la estación.,巴士将停在车站前。,machine-assisted
54,213,arrêter de faire qch.,fr:arrêter de:verb:1,arrêter de,verb,/a.ʁɛ.te/,to stop; to give up,dejar de,停止做某事,Elle essaie d’arrêter de fumer.,She is trying to stop smoking.,Intenta dejar de fumar.,她正在努力戒烟。,machine-assisted
55,213,arrivée,fr:arrivée:noun:1,arrivée,noun,/a.ʁi.ve/,arrival,llegada,到达,Voici l’arrivée.,Here it is.,Aquí está.,这是到达。,machine-assisted
56,213,arriver,fr:arriver:verb:1,arriver,verb,/a.ʁi.ve/,to arrive (often followed by a location),llegar,到达，抵达；来临，来到；发生,Le train va arriver à midi.,The train is going to arrive at noon.,El tren va a llegar al mediodía.,火车中午到达。,machine-assisted
57,213,art,fr:art:noun:1,art,noun,/aʁ/,art,arte,艺术；美术,On parle de l’art.,We are talking about it.,Estamos hablando de ello.,我们正在谈论艺术。,machine-assisted
58,213,article,fr:article:noun:1,article,noun,/aʁ.tikl/,article (a piece of nonfictional writing),artículo,（报刊）文章,Voici l’article.,Here it is.,Aquí está.,这是（报刊）文章。,machine-assisted
59,213,artiste,fr:artiste:noun:1,artiste,noun,/aʁ.tist/,artist,artista,艺术家,Voici les artistes.,Here it is.,Aquí está.,这些是艺术家。,machine-assisted
60,213,assez,fr:assez:adverb:1,assez,adverb,/a.se/,to a sufficient or moderate degree; enough; sufficiently,"bastante, suficientemente",足够地,Cette salle est assez grande.,This room is big enough.,Esta sala es bastante grande.,这个房间相当大。,machine-assisted
61,213,assiette,fr:assiette:noun:1,assiette,noun,/a.sjɛt/,seat,plato,盘子,Voici l’assiette.,Here it is.,Aquí está.,这是盘子。,machine-assisted
62,213,assistant(e),fr:assistant:noun:1,assistant,noun,/a.sis.tɑ̃/,assistant,asistente,助理，助手，副手,Voici l’assistant.,Here it is.,Aquí está.,这是助理。,machine-assisted
63,213,athlétisme,fr:athlétisme:noun:1,athlétisme,noun,/at.le.tism/,athletics; track and field,atletismo,田径运动,Voici l’athlétisme.,Here it is.,Aquí está.,这是田径运动。,machine-assisted
64,213,attendre,fr:attendre:verb:1,attendre,verb,/a.tɑ̃dʁ/,"to wait for, to await","aguardar, esperar",等待,Je vais attendre le bus.,I am going to wait for the bus.,Voy a aguardar el autobús.,我要去等公共汽车。,machine-assisted
65,213,attention,fr:attention:noun:1,attention,noun,/a.tɑ̃.sjɔ̃/,attention (mental focus),atención,注意，专心,Voici l’attention.,Here it is.,Aquí está.,这是注意。,machine-assisted
66,213,faire attention à...,fr:faire attention à:verb:1,faire attention à,verb,/fɛʁ/,to pay attention to,prestar atención a,注意；当心,Faites attention à la circulation.,Pay attention to the traffic.,Preste atención al tráfico.,注意来往车辆。,machine-assisted
67,213,au-dessous,fr:au-dessous:preposition:1,au-dessous,preposition,/o.d(ə).su/,"beneath, below","debajo, (de) abajo",在下面,Le parking est au-dessous de l’immeuble.,The car park is below the building.,El aparcamiento está debajo del edificio.,停车场位于大楼下方。,machine-assisted
68,213,au-dessus,fr:au-dessus:adverb:1,au-dessus,adverb,/o.d(ə).sy/,above,"arriba, encima, por encima",在上面，以上,La chambre est au-dessus.,The bedroom is upstairs.,El dormitorio está arriba.,卧室在上面。,machine-assisted
69,213,au-dessus de,fr:au-dessus de:preposition:1,au-dessus de,preposition,/o.d(ə).sy də/,above,por encima de,在的上面，在之上,La lampe est au-dessus de la table.,The lamp is above the table.,La lámpara está encima de la mesa.,灯在桌子上方。,machine-assisted
70,213,aujourd'hui,fr:aujourd'hui:adverb:1,aujourd'hui,adverb,/o.ʒuʁ.dɥi/,today,hoy,今天,"Aujourd’hui, je travaille à la maison.","Today, I am working at home.",Hoy trabajo en casa.,今天，我在家工作。,seed-reviewed
71,213,aussi,fr:aussi:adverb:1,aussi,adverb,/o.si/,"too, also, as well",también,也,Marie vient aussi.,Marie is coming too.,Marie también viene.,玛丽也来了。,machine-assisted
72,214,autoroute,fr:autoroute:noun:1,autoroute,noun,/o.tɔ.ʁut/,"expressway, freeway, motorway, highway",autopista,高速公路,Voici l’autoroute.,Here it is.,Aquí está.,这是高速公路。,machine-assisted
73,214,autour de,fr:autour de:preposition:1,autour de,preposition,/otˈuʁ də-/,around,en torno a,在四周，在周围,Nous marchons autour du lac.,We are walking around the lake.,Caminamos alrededor del lago.,我们绕湖散步。,machine-assisted
74,214,autre,fr:autre:adjective:1,autre,adjective,/otʁ/,other,otro,另一个的，别的，另外的,C’est quelque chose d’autre.,It is something other.,Es algo otro.,这是另一回事。,machine-assisted
75,214,avant,fr:avant:adverb:1,avant,adverb,/a.vɑ̃/,beforehand; earlier,"ante, antes de, antes que",在之前,Je l’ai déjà vu avant.,I have seen him before.,Ya lo he visto antes.,我以前见过。,machine-assisted
76,214,avantage,fr:avantage:noun:1,avantage,noun,/a.vɑ̃.taʒ/,advantage (advantageous position),bondad,好处，利处，优点,On parle de l’avantage.,We are talking about it.,Estamos hablando de ello.,我们正在谈论好处。,machine-assisted
77,214,avec,fr:avec:preposition:1,avec,preposition,/a.vɛk/,with,"con, en colaboración con, en compañía de o junto con",和……一起；带有；以……方式,Je viens avec mes amis.,I am coming with my friends.,Voy con mis amigos.,我和朋友们一起来的。,machine-assisted
78,214,avenir,fr:avenir:noun:1,avenir,noun,/av.niʁ/,future,"futuro, porvenir",未来,On parle de l’avenir.,We are talking about it.,Estamos hablando de ello.,我们正在谈论未来。,machine-assisted
79,214,avenue,fr:avenue:noun:1,avenue,noun,/a.vny/,"avenue (broad street, especially bordered with trees)",avenida,（城市中通常栽有树木的）大街,Voici l’avenue.,Here it is.,Aquí está.,这是（城市中通常栽有树木的）大街。,machine-assisted
80,214,avion,fr:avion:noun:1,avion,noun,/a.vjɔ̃/,aeroplane,avión,飞机,On parle de l’avion.,We are talking about it.,Estamos hablando de ello.,我们正在谈论飞机。,machine-assisted
81,214,avoir,fr:avoir:verb:1,avoir,verb,/a.vwaʁ/,to have,tener,有；拥有,J’ai un petit livre.,I have a small book.,Tengo un libro pequeño.,我有一本小书。,seed-reviewed
82,214,bac,fr:bac:noun:1,bac,noun,/bak/,ferry,transbordador,渡船,Voici le bac.,Here it is.,Aquí está.,这是渡船。,machine-assisted
83,214,baguette,fr:baguette:noun:1,baguette,noun,/ba.ɡɛt/,"stick, rod, any long thin object",baguete,法国长棍面包，法棍,On parle de la baguette.,We are talking about it.,Estamos hablando de ello.,我们正在谈论法国长棍面包。,machine-assisted
84,214,baigner(se),fr:baigner:verb:1,baigner,verb,/bɛ.ɲe/,to bathe,bañar,游泳；洗澡，沐浴,Je vais baigner le bébé.,I am going to bathe the baby.,Voy a bañar al bebé.,我要去给宝宝洗澡。,machine-assisted
85,214,banque,fr:banque:noun:1,banque,noun,/bɑ̃k/,bank,banco,银行,Voici la banque.,Here it is.,Aquí está.,这是银行。,machine-assisted
86,214,bar,fr:bar:noun:1,bar,noun,/baʁ/,bar (establishment),lubina,酒吧,On parle du bar.,We are talking about it.,Estamos hablando de ello.,我们正在谈论酒吧。,machine-assisted
87,214,Barcelone,fr:barcelone:proper_noun:1,Barcelone,proper_noun,/baʁ.sə.lɔn/,"Barcelona (the capital city of Catalonia, Spain)",barcelona,巴塞罗那（西班牙）,Je connais bien Barcelone.,I know Barcelona well.,Conozco bien Barcelona.,我很了解巴塞罗那。,machine-assisted
88,214,basket,fr:basket:noun:1,basket,noun,/bas.kɛt/,basketball,zapatillas de deporte; baloncesto,篮球,Voici le basket.,Here it is.,Aquí está.,这是篮球。,machine-assisted
89,214,bateau,fr:bateau:noun:1,bateau,noun,/ba.to/,"a vessel of any size, a ship or boat",barco,船,Voici le bateau.,Here it is.,Aquí está.,这是船。,machine-assisted
90,214,"beau (bel, belle, beaux, belles)",fr:beau:adjective:1,beau,adjective,/bo/,"handsome, fine, attractive","bello, hermoso",美丽的；漂亮的,C’est quelque chose de beau.,"It is something handsome, fine, attractive.","Es algo bello, hermoso.",这是美丽的东西。,machine-assisted
91,214,beaucoup,fr:beaucoup:adverb:1,beaucoup,adverb,/bo.ku/,"much, very much, a lot",mucho,很，非常；很多,Elle voyage beaucoup.,She travels a lot.,Viaja mucho.,她经常旅行。,machine-assisted
92,214,bébé,fr:bébé:noun:1,bébé,noun,/be.be/,baby,bebé,婴儿；孩子，宝宝,Voici le bébé.,Here it is.,Aquí está.,这是婴儿。,machine-assisted
93,214,Belge,fr:belge:noun:1,Belge,noun,/bɛlʒ/,"Belgian person, resident or native of Belgium; used of both genders",belga,比利时人,On parle des Belges.,We are talking about it.,Estamos hablando de ello.,我们正在谈论比利时人。,machine-assisted
94,214,belge,fr:belge:adjective:1,belge,adjective,/bɛlʒ/,Belgian,"belga. Originario, relativo a, o propio de Bélgica",比利时的,C’est quelque chose de belge.,It is something Belgian.,"Es algo belga. Originario, relativo a, o propio de Bélgica.",这是比利时的东西。,machine-assisted
95,214,Belgique,fr:belgique:proper_noun:1,Belgique,proper_noun,/bɛl.ʒik/,"Belgium (a country in Western Europe that has borders with the Netherlands, Germany, Luxembourg and France; official name: Royaume de Belgique)",bélgica,比利时,Je connais bien Belgique.,I know Belgium well.,Conozco bien Bélgica.,我很了解比利时。,machine-assisted
96,214,ben,fr:ben:interjection:1,ben,interjection,/bɛ̃/,Well; uh,Ben,回答时表示犹豫的语气词,"Ben, je ne sais pas.","Well, I don't know.","Pues, no lo sé.",嗯，我不知道。,machine-assisted
97,214,beurre,fr:beurre:noun:1,beurre,noun,/bœʁ/,butter,mantequilla,黄油,On parle du beurre.,We are talking about it.,Estamos hablando de ello.,我们正在谈论黄油。,machine-assisted
98,214,bien,fr:bien:adverb:1,bien,adverb,/bjɛ̃/,well,bien,好；许多，很，非常，完全，十分,Elle parle bien français.,She speaks French well.,Habla bien francés.,她法语说得很好。,machine-assisted
99,214,bien sûr,fr:bien sûr:adverb:1,bien sûr,adverb,/bjɛ̃ syʁ/,of course,por supuesto,当然（语气词）,"Bien sûr, je peux vous aider.","Of course, I can help you.","Claro, puedo ayudarle.",我当然可以帮助你。,machine-assisted
100,214,bienvenue,fr:bienvenue:noun:1,bienvenue,noun,/bjɛ̃.v(ə).ny/,welcome,"bienvenida (recibimiento cortés, llegada feliz)",欢迎,On parle de la bienvenue.,We are talking about it.,Estamos hablando de ello.,我们正在谈论欢迎。,machine-assisted
101,214,billet,fr:billet:noun:1,billet,noun,/bi.jɛ/,"note, a brief message",billete,票,Voici le billet.,Here it is.,Aquí está.,这是票。,machine-assisted
102,214,bise,fr:bise:noun:1,bise,noun,/biz/,north wind; northeasterly (wind),beso,吻,On parle de la bise.,We are talking about it.,Estamos hablando de ello.,我们正在谈论吻。,machine-assisted
103,214,bisou,fr:bisou:noun:1,bisou,noun,/bi.zu/,kiss (friendly kiss),beso,《俗》亲吻,Voici le bisou.,Here it is.,Aquí está.,这是亲吻。,machine-assisted
104,214,blanc(che),fr:blanc:adjective:1,blanc,adjective,/blɑ̃/,white color,blanco,白的，白色的,C’est quelque chose de blanc.,It is something white color.,Es algo blanco.,这是白色的东西。,machine-assisted
105,214,blessé(e),fr:blessé:adjective:1,blessé,adjective,/blɛ.se/,"injured, wounded",herido,受伤的,C’est quelque chose de blessé.,"It is something injured, wounded.",Es algo herido.,这是受伤的。,machine-assisted
106,214,bleu(e),fr:bleu:adjective:1,bleu,adjective,/blø/,blue,azul,蓝色的，青的,C’est quelque chose de bleu.,It is something blue.,Es algo azul.,这是蓝色的东西。,machine-assisted
107,214,blond(e),fr:blond:adjective:1,blond,adjective,/blɔ̃/,blond (of a pale golden colour),rubio,金色的；有金色头发的,C’est quelque chose de blond.,It is something blond (of a pale golden colour).,Es algo rubio.,这是金色的。,machine-assisted
108,214,blouson,fr:blouson:noun:1,blouson,noun,/blu.zɔ̃/,blouson,cazadora; chaqueta,夹克衫,Voici le blouson.,Here it is.,Aquí está.,这是夹克衫。,machine-assisted
109,214,boire,fr:boire:verb:1,boire,verb,/bwaʁ/,to drink,beber,喝,Je vais boire un café.,I am going to drink a coffee.,Voy a beber un café.,我要去喝杯咖啡。,machine-assisted
110,214,boîte,fr:boîte:noun:1,boîte,noun,/bwat/,box (a container),caja,盒子；夜总会,Voici la boîte.,Here it is.,Aquí está.,这是盒子。,machine-assisted
111,214,bon(ne),fr:bon:adjective:1,bon,adjective,/bɔ̃/,good,bueno,好的；恰当的；正确的,Ce pain est bon.,This bread is good.,Este pan está bueno.,这个面包很好吃。,seed-reviewed
112,214,bonjour,fr:bonjour:noun:1,bonjour,noun,/bɔ̃.ʒuʁ/,greetings; hello (general salutation),"hola, buenos días, buenas tardes",您好，早上好,On parle du bonjour.,We are talking about it.,Estamos hablando de ello.,我们正在谈论您好。,machine-assisted
113,214,bord,fr:bord:noun:1,bord,noun,/bɔʁ/,"border, edge, limit; boundary",borde,边，边缘；岸边,On parle du bord.,We are talking about it.,Estamos hablando de ello.,我们正在谈论边。,machine-assisted
114,214,Bordeaux,fr:bordeaux:proper_noun:1,Bordeaux,proper_noun,/bɔʁ.do/,"Bordeaux (the capital city of Gironde department, France; the capital city of the region of Nouvelle-Aquitaine)","burdeos, municipio y ciudad del sudoeste de Francia, capital de Nueva Aquitania (región) y prefectura de Gironda (departamento)",波尔多（法国）,Je connais bien Bordeaux.,I know Bordeaux well.,"Conozco bien Burdeos, municipio y ciudad del sudoeste de Francia, capital de Nueva Aquitania.",我很了解波尔多。,machine-assisted
115,214,bouche,fr:bouche:noun:1,bouche,noun,/buʃ/,mouth,boca,嘴,Voici la bouche.,Here it is.,Aquí está.,这是嘴。,machine-assisted
116,214,boulanger(ère),fr:boulanger:noun:1,boulanger,noun,/bu.lɑ̃.ʒe/,baker (who bakes bread; contrast pâtissier),panadero,面包师，面包商,On parle du boulanger.,We are talking about it.,Estamos hablando de ello.,我们正在谈论面包师。,machine-assisted
117,214,boulangerie,fr:boulangerie:noun:1,boulangerie,noun,/bu.lɑ̃ʒ.ʁi/,"bread shop; bakery, baker's",panadería,面包店,On parle de la boulangerie.,We are talking about it.,Estamos hablando de ello.,我们正在谈论面包店。,machine-assisted
118,214,boulot,fr:boulot:noun:1,boulot,noun,/bu.lo/,work,curro,《俗》工作，活儿,On parle du boulot.,We are talking about it.,Estamos hablando de ello.,我们正在谈论工作。,machine-assisted
119,214,bout,fr:bout:noun:1,bout,noun,/bu/,"end, extremity, tip (of a physical object)",punta,末端，尽头,Voici le bout.,Here it is.,Aquí está.,这是末端。,machine-assisted
120,214,bouteille,fr:bouteille:noun:1,bouteille,noun,/bu.tɛj/,"bottle (container, typically made of glass or plastic and having a tapered neck, used primarily for holding liquids)",botella,瓶子,On parle de la bouteille.,We are talking about it.,Estamos hablando de ello.,我们正在谈论瓶子。,machine-assisted
121,214,bravo,fr:bravo:interjection:1,bravo,interjection,/bʁa.vo/,"bravo!, hear, hear!, well said!, well done!",¡Bravo!,好！妙！,"Bravo, tu as réussi !","Well done, you passed!","¡Bravo, lo has conseguido!",干得好，你成功了！,machine-assisted
122,214,bref,fr:bref:adjective:1,bref,adjective,/bʁɛf/,brief (of short duration),pequeño,总而言之，简而言之,C’est quelque chose de bref.,It is something brief (of short duration).,Es algo pequeño.,这很简短。,machine-assisted
123,214,Brest,fr:brest:proper_noun:1,Brest,proper_noun,/bʁɛst/,"Brest (a port city in Finistère, Brittany, France)",Brest,布雷斯特（法国）,Je connais bien Brest.,I know Brest well.,Conozco bien Brest.,我很了解布雷斯特。,machine-assisted
124,214,Bretagne,fr:bretagne:proper_noun:1,Bretagne,proper_noun,/bʁə.taɲ/,"Brittany (a cultural region, historical province, and peninsula in northwest France)",bretaña,布列塔尼（法国西部省份，首府为雷恩）,Je connais bien Bretagne.,I know Brittany well.,Conozco bien Bretaña.,我很了解布列塔尼。,machine-assisted
