序号,原书页码,法语词条,中文释义,对齐分数
54,213,arrêter de faire qch.,停止做某事,1.60
55,213,arrivée,到达,1.63
56,213,arriver,到达，抵达；来临，来到；发生,1.63
57,213,art,艺术；美术,1.63
58,213,article,（报刊）文章,1.63
59,213,artiste,艺术家,1.63
60,213,assez,足够地,1.63
61,213,assiette,盘子,1.63
62,213,assistant(e),助理，助手，副手,1.63
63,213,athlétisme,田径运动,1.63
64,213,attendre,等待,1.63
65,213,attention,注意，专心,1.63
66,213,faire attention à...,注意；当心,1.60
67,213,au-dessous,在下面,1.63
68,213,au-dessus,在上面，以上,1.63
69,213,au-dessus de,在的上面，在之上,1.60
70,213,aujourd'hui,今天,1.63
71,213,aussi,也,1.63
72,214,autoroute,高速公路,1.65
73,214,autour de,在四周，在周围,1.65
74,214,autre,另一个的，别的，另外的,1.65
75,214,avant,在之前,1.65
76,214,avantage,好处，利处，优点,1.65
77,214,avec,和……一起；带有；以……方式,1.64
78,214,avenir,未来,1.65
79,214,avenue,（城市中通常栽有树木的）大街,1.65
80,214,avion,飞机,1.65
81,214,avoir,有，拥有，具有，享有，带有,1.65
82,214,bac,渡船,1.65
83,214,baguette,法国长棍面包，法棍,1.65
84,214,baigner(se),游泳；洗澡，沐浴,1.65
85,214,banque,银行,1.65
86,214,bar,酒吧,1.65
87,214,Barcelone,巴塞罗那（西班牙）,1.65
88,214,basket,篮球,1.65
89,214,bateau,船,1.65
90,214,"beau (bel, belle, beaux, belles)",美丽的；漂亮的,1.40
91,214,beaucoup,很，非常；很多,1.65
92,214,bébé,婴儿；孩子，宝宝,1.65
93,214,Belge,比利时人,1.65
94,214,belge,比利时的,1.65
95,214,Belgique,比利时,1.65
96,214,ben,回答时表示犹豫的语气词,1.65
97,214,beurre,黄油,1.65
98,214,bien,好；许多，很，非常，完全，十分,1.65
99,214,bien sûr,当然（语气词）,1.61
100,214,bienvenue,欢迎,1.65
101,214,billet,票,1.65
102,214,bise,吻,1.65
103,214,bisou,《俗》亲吻,1.65
104,214,blanc(che),白的，白色的,1.65
105,214,blessé(e),受伤的,1.65
106,214,bleu(e),蓝色的，青的,1.65
107,214,blond(e),金色的；有金色头发的,1.65
108,214,blouson,夹克衫,1.65
109,214,boire,喝,1.65
110,214,boîte,盒子；夜总会,1.65
111,214,bon(ne),好的；恰当的；正确的,1.65
112,214,bonjour,您好，早上好,1.65
113,214,bord,边，边缘；岸边,1.65
114,214,Bordeaux,波尔多（法国）,1.65
115,214,bouche,嘴,1.65
116,214,boulanger(ère),面包师，面包商,1.65
117,214,boulangerie,面包店,1.65
118,214,boulot,《俗》工作，活儿,1.65
119,214,bout,末端，尽头,1.65
120,214,bouteille,瓶子,1.65
121,214,bravo,好！妙！,1.65
122,214,bref,总而言之，简而言之,1.65
123,214,Brest,布雷斯特（法国）,1.65
124,214,Bretagne,布列塔尼（法国西部省份，首府为雷恩）,1.65
125,214,briller,发光，闪耀,1.65
126,214,brun(e),棕色的；有棕色头发的,1.65
127,214,Bruxelles,布鲁塞尔（比利时）,1.65
128,214,bruyant(e),吵闹的,1.65
129,214,bureau,办公桌，写字台；办公室,1.65
130,214,bus,公交车,1.65
131,214,ça,《俗》这个；那个,0.75
132,214,cabinet,事务所,1.65
133,214,cadeau (cadeaux),礼物,1.65
134,214,café,咖啡；咖啡馆,1.65
135,214,calme,平静的；安静的；冷静的,1.65
136,214,calmer(se),冷静下来，镇定下来,1.65
137,214,camembert,卡芒贝尔奶酪,1.65
138,214,camion,卡车,1.65
139,214,campagne,乡村,1.65
140,214,camping,野营,1.65
141,214,faire du camping,露营,1.61
142,214,Canada,加拿大,1.65
143,215,candidat(e),应聘者，求职者；候选人,1.65
144,215,Cantal,康塔尔（法国中南部大区省份）,1.64
145,215,carte,地图；卡片，明信片,1.65
146,215,carte postale,明信片,1.61
147,215,casting,试镜，角色分配，挑选演员,1.65
148,215,Cayenne,卡宴（法属圭亚那的首府）,1.64
149,215,CD,激光唱片；光盘（英文的缩写）,1.65
150,215,célèbre,有名的，著名的,1.64
151,215,centre,中心；中部,1.65
152,215,céréales,谷物食品（指麦片、玉米片等）,1.64
153,215,certain(e),肯定的，一定的；确信无疑的,1.64
154,215,certainement,肯定地，一定地；确实地，当然,1.64
155,215,chaise,椅子,1.64
156,215,chambre,房间，卧室,1.64
157,215,champagne,香槟酒,1.64
158,215,champion(ne),冠军，优胜者，第一名,1.64
159,215,chance,运气,1.64
160,215,Chandeleur,圣蜡节（天主教节日）,1.64
161,215,changement,变化,1.64
162,215,changer,改变，改动；更换,1.64
163,215,chanson,歌曲,1.64
164,215,chapeau,帽子,1.64
165,215,chat(te),猫,1.64
166,215,château,城堡,1.64
167,215,chaton,小猫,1.64
168,215,chaud(e),热的，暖的，烫的；暖和的，保暖的,1.64
169,215,chaussure,鞋，靴,1.64
170,215,cheminée,壁炉；烟囱,1.64
171,215,chemise,男式衬衫,1.65
172,215,cher(ère),高价的，昂贵的,1.64
173,215,chercher,找，寻找，寻觅,1.64
174,215,cheval (chevaux),马,1.64
175,215,cheveux,头发,1.64
176,215,chez,在…家；在那里,1.64
177,215,chien(ne),狗,1.64
178,215,chiffre,数字,1.64
179,215,Chinois(e),中国人,1.64
180,215,chinois(e),中国的,1.64
181,215,chocolat,巧克力,1.64
182,215,choisir,选择,1.64
183,215,chose,事情，事物,1.64
184,215,cidre,苹果酒,1.64
185,215,cinéma,电影，电影艺术；电影院,1.64
186,215,circonstance,情形，环境,1.64
187,215,circuit,旅游线路,1.64
188,215,clair(e),明亮的；清晰的，清楚的,1.64
189,215,classe,等级，级别；班级；教室,1.64
190,215,classique,古典的,1.64
191,215,client(e),顾客，客户,1.64
192,215,club,（英）俱乐部，会，社,1.64
193,215,coca,可乐,1.64
194,215,coiffure,发型,1.64
195,215,coin,角，角落；街角处,1.64
196,215,collègue,同事,1.64
197,215,combien,多少（用于疑问句中）,1.64
198,215,comme,作为，以身份；当做；如同，好像,1.64
199,215,commencer,开始,1.64
200,215,commencer à faire qch.,开始做某事,0.99
201,215,comment,如何，怎么，怎样；怎么！表示惊讶，愤怒、谴责,1.64
202,215,commerce,买卖，交易；商业，贸易，；商店，店铺,1.64
203,215,complet(ète),满员的；满座的,1.64
204,215,comprendre,理解，懂得,1.64
205,215,conditionné(e),有条件的，受条件限制的,1.64
206,215,confiture,果酱,1.64
207,215,connaître,了解；认识,1.64
208,215,conseil,建议,1.64
209,215,construction,建造，建筑；建筑物,1.64
210,215,contacter,联系,1.64
211,215,contemporain(e),当代的，同时代的,1.64
212,215,continuer,继续（做）,1.64
213,215,contre,紧靠；倚着,1.64
214,215,copain(copine),《俗》朋友；伙伴,1.64
215,215,coq,公鸡，雄鸡,1.64
216,215,corps,身体,1.64
217,216,correctement,正确地；合适地,1.65
218,216,correspondance,通信，通信联系；（集）书信，信件,1.65
219,216,correspondant(e),通信者，有信件来往者,1.65
220,216,Corse (la),科西嘉（岛）（法国）,1.64
221,216,côté,旁，侧,1.64
222,216,à côté (de),在（的）旁边,1.61
223,216,coucher(se),躺下；上床，睡觉去,1.65
224,216,couleur,色，颜色,1.65
225,216,couloir,走廊,1.65
226,216,couple,一对夫妇；一对情侣,1.65
227,216,cours,课，课程,1.65
228,216,course,跑；奔跑,1.64
229,216,faire des / les courses,购物,1.61
230,216,court(e),短的,1.64
231,216,coûter,价值（多少钱）；花费，花钱,1.64
232,216,couture,服装业，时装业,1.64
233,216,haute couture,高档时装业,1.61
234,216,crêpe,可丽饼（一种以鸡蛋、面粉为原料的油煎薄饼）,1.64
235,216,crêperie,薄饼店，可丽饼店,1.64
236,216,croire,相信,1.64
237,216,croissant,羊角面包；月牙,1.64
238,216,cuisine,厨房；烹调，烹饪法；菜肴,1.64
239,216,culturel(le),文化的,1.64
240,216,d'abord,首先,1.64
241,216,d'accord,同意，赞同,1.64
242,216,Dakar,达喀尔（塞内加尔）,1.65
243,216,dans,在……里；处于……状态,1.64
244,216,danse,舞蹈,1.64
245,216,de,从；自；……的,1.64
246,216,degré,程度，度,1.64
247,216,déjà,已经,1.64
248,216,déjeuner,午饭；吃午饭,1.64
249,216,demander,请求，要求,1.64
250,216,demander à qn de faire qch.,要求某人做某事,1.61
251,216,départ,出发,1.64
252,216,dépense,开销,1.64
253,216,dernier(ère),最近的，最新的；最后的,1.64
254,216,descendre,下来,1.64
255,216,désolé(e),感到遗憾的，感到抱歉的,1.64
256,216,dessert,甜点,1.64
257,216,destination,目的地,1.64
258,216,détendre(se),放松,1.64
259,216,détester,厌恶，憎恨,1.64
260,216,deux-chevaux,两马力的小汽车,1.64
261,216,deuxième,第二的,1.64
262,216,devant,在…前面,1.64
263,216,difficile,困难的,1.64
264,216,dimanche,周日,1.64
265,216,dîner,晚餐；吃晚餐,1.64
266,216,dire,说，说出,1.64
267,216,direct(e),直的；直接的,1.64
268,216,directeur(trice),经理,1.64
269,216,discothèque,迪斯科舞厅,1.64
270,216,docteur,医生,1.64
271,216,document,材料，文件,1.64
272,216,donc,嗯，好吧（用来引出被岔开的话题）；因此，所以,1.64
273,216,donner,给,1.64
274,216,dormir,睡觉,1.64
275,216,douche,淋浴；淋浴设备，莲蓬头,1.64
276,216,droit,笔直地,1.64
277,216,droite,右面，右边，右方,1.64
278,216,à droite (de),在（的）右边,1.61
279,216,dynamique,有活力的；充满活力的,1.64
280,216,eau,水,1.64
281,216,école,小学,1.64
282,216,écouter,听,1.63
283,216,écrire,写,1.64
284,216,écrivain,作家,1.64
285,216,e-mail,电子邮件,1.64
286,216,embrasser,拥抱；亲吻,1.64
287,216,employé(e),雇员,1.64
288,216,en,在……里；在……时；以……方式,1.64
289,217,endormir(s'),睡着,1.64
290,217,enfance,童年,1.64
291,217,enfant,孩子,1.64
292,217,enfin,最后，终于；总之；（表示更正前面的话）其实，至少，不过,1.64
293,217,ennuyer(s'),感到厌倦；感到烦恼,1.64
294,217,en plus,并且，而且,1.64
295,217,enquête,调查,1.64
296,217,ensemble,一起,1.64
297,217,ensuite,然后，接下来,1.64
298,217,entraînement,训练,1.64
299,217,entraîner(s'),训练,1.64
300,217,entre,在之间,1.64
301,217,entrée,入口；门厅,1.64
302,217,entreprise,企业,1.64
303,217,entrer,进入,1.64
304,217,entretien,面试，会面,1.64
305,217,envie,欲望，强烈的愿望,1.64
306,217,avoir envie de qch. / faire qch.,想，意欲,1.60
307,217,époque,时代；时期,1.64
308,217,erreur,错误,1.64
309,217,espace,空间；场地，场所,1.64
310,217,espace vert,绿地,1.60
311,217,espagnol,西班牙语,1.64
312,217,Espagnol(e),西班牙人,1.64
313,217,espagnol(e),西班牙的,1.64
314,217,essayer,试；试穿；尝试,1.64
315,217,essayer de faire qch.,尝试做某事,1.60
316,217,est,东，东边，东方,1.64
317,217,et,和，而，且；（表示数量的相加）加，又,1.64
318,217,étage,楼层,1.64
319,217,étagère,（固定在墙上的）格，隔板，架子；多层架子,1.65
320,217,été,夏天,1.64
321,217,étranger,外国，异国,1.64
322,217,à l'étranger,去国外；在国外,1.61
323,217,étranger(ère),外国的,1.64
324,217,être,是,1.64
325,217,étudiant(e),大学生,1.64
326,217,euro,欧元,1.64
327,217,Europe,欧洲,1.64
328,217,éviter,避免,1.64
329,217,exactement,准确地,1.64
330,217,excellent(e),特别好的,1.64
331,217,excuser,原谅，宽恕,1.64
332,217,exister,存在,1.64
333,217,expérience,经验；经历,1.64
334,217,fabriquer,制造，生产,1.64
335,217,fac,《俗》大学（的缩写）,1.63
336,217,face,（物体的）面,1.64
337,217,facile,容易的,1.64
338,217,facilement,容易地，轻易地,1.64
339,217,faire,做；从事；制造,1.64
340,217,fait,事情，事件，情况，轶闻,1.63
341,217,fait divers,杂闻，社会新闻,1.60
342,217,familier(ère),通俗的,1.64
343,217,famille,亲属，家人；家庭,1.64
344,217,fan,粉丝，歌迷，影迷,1.63
345,217,fantastique,奇幻的；幻想的,1.63
346,217,farine,面粉,1.63
347,217,fatigué(e),疲倦的,1.64
348,217,fauteuil,扶手椅,1.63
349,217,félicitations,祝词，贺词；称赞，赞扬,1.64
350,217,femme,女人；妻子,1.64
351,217,fenêtre,窗，窗子，窗户，玻璃窗,1.64
352,217,fête,节日；晚会,1.64
353,217,fêter,庆祝，纪念,1.64
354,217,feu,火；焰火,1.63
355,217,feu d'artifice,焰火,1.60
356,217,fille,女孩，姑娘；女儿,1.64
357,217,film,电影，影片,1.63
358,217,fils,儿子,0.98
359,217,finalement,最终，终于,1.64
360,217,fini(e),完成的，结束的,1.64
361,217,Finlande,芬兰,1.64
362,217,fixe,固定的；长久的，持久的,1.63
363,217,beau fixe,持续晴天，连续晴天,1.60
364,217,fleur,花,1.64
365,217,fois,次,1.63
366,217,foot,《俗》足球,1.63
367,217,footing,慢跑,1.64
368,217,français,法语,1.63
369,217,Français(e),法国人,1.64
370,218,français(e),法国的,1.65
371,218,France,法国,1.65
372,218,fromage,奶酪,1.65
373,218,fruit,水果,1.65
374,218,gagner,赢；赢得,1.65
375,218,garçon,男孩；小伙子,1.65
376,218,gare,车站,1.65
377,218,gâteau,蛋糕,1.65
378,218,gauche,左边；左面,1.65
379,218,à gauche (de),在（…的）左边,1.62
380,218,"général(e), généraux",一般的，普遍的,1.65
381,218,en général,一般而言；通常,1.62
382,218,Genève,日内瓦（瑞士）,1.65
383,218,gens,人，人们,1.65
384,218,glace,冰；冰淇淋,1.65
385,218,glissant(e),滑的,1.65
386,218,golf,高尔夫球运动,1.65
387,218,goût,爱好，兴趣；品位；味道,1.65
388,218,gramme,克,1.65
389,218,grand(e),高大的,1.65
390,218,grand-mère (grands-mères),（外）祖母,1.65
391,218,grand-père (grands-pères),（外）祖父,1.65
392,218,gratuit(e),免费的,1.65
393,218,gris(e),灰色的,1.65
394,218,groupe,组；群；团体,1.65
395,218,guerre,战争,1.65
396,218,guitare,吉他,1.65
397,218,guyanais(e),圭亚那的,1.65
398,218,gymnastique,体操,1.65
399,218,habiller(s'),穿衣服,1.65
400,218,habiter,居住（在）,1.65
401,218,habitude,习惯,1.65
402,218,habituel(le),习惯的,1.65
403,218,haut(e),高的；高等的,1.65
404,218,hélicoptère,直升机,1.64
405,218,heure,时间；小时,1.65
406,218,heurter,碰撞,1.64
407,218,heureux(euse),快乐的,1.64
408,218,hier,昨天,1.64
409,218,histoire,故事,1.64
410,218,Hollande,荷兰（非官方称谓）,1.64
411,218,homme,人，男人，男子,1.64
412,218,horaire,时刻表,1.64
413,218,hôtel,宾馆，大饭店；（行政机关）办公大楼，官邸，大厦,1.64
414,218,hôtel de ville,市政府大楼,1.60
415,218,hum,嗯！（表示怀疑、不耐烦或持保留意见）,1.64
416,218,ici,这里,1.65
417,218,idéal(e),理想的,1.64
418,218,idée,主意,1.64
419,218,il faut,需要；必须；应该,1.64
420,218,il y a,有,1.65
421,218,île,岛,1.64
422,218,imaginer,想象,1.64
423,218,immeuble,房屋，大楼,1.64
424,218,immobilier(ère),不动产的,1.64
425,218,important(e),重要的,1.64
426,218,inconvénient,不便之处；缺点,1.64
427,218,indispensable,不可或缺的,1.64
428,218,informaticien(ienne),计算机工程师,1.64
429,218,inquiéter(s'),担心,1.64
430,218,inspecteur(trice),检查员；视察员,1.64
431,218,inspecteur de police,警探；刑警,1.61
432,218,installer,安置，放置,1.64
433,218,institut,机构；学院,1.64
434,218,interdit(e),被禁止的,1.64
435,218,intéressant(e),有趣的，有意义的,1.64
436,218,Internet,因特网,1.64
437,218,interview,采访，访谈,1.64
438,218,invité(e),来宾,1.65
439,218,inviter,邀请,1.64
440,218,Irlande,爱尔兰,1.64
441,218,italien,意大利语,1.64
442,218,Italien(ne),意大利人,1.64
443,218,italien(ne),意大利的,1.64
444,219,janvier,一月,1.64
445,219,Japon,日本,1.64
446,219,Japonais(e),日本人,1.64
447,219,japonais(e),日本的,1.64
448,219,jardin,公园，花园,1.64
449,219,jean,牛仔裤,1.64
450,219,jeudi,周四,1.64
451,219,joli(e),漂亮的，好看的,1.64
452,219,jouer,玩；演奏,1.64
453,219,jouet,玩具,1.64
454,219,jour,日子，天,1.64
455,219,du jour,当天的，当日的,1.60
456,219,journal,报纸,1.64
457,219,journaliste,新闻工作者，新闻记者,1.64
458,219,journée,一天，一昼夜；白天，白昼,1.64
459,219,juillet,七月,1.64
460,219,juin,六月,1.64
461,219,jupe,裙子,1.64
462,219,jus,果汁,1.64
463,219,jusque,直到，直至,1.64
464,219,juste,正好，恰巧,1.64
465,219,kilo,公斤，千克（的缩写）,1.64
466,219,kilomètre,千米,1.64
467,219,là,那儿；那里,1.64
468,219,là-bas,那里，那边,1.63
469,219,laisser,放开，使得,1.64
470,219,lait,牛奶,1.64
471,219,langue,语言；舌头,1.64
472,219,Lausanne,洛桑（瑞士）,1.65
473,219,laver(se),洗漱,1.64
474,219,lecture,阅读,1.63
475,219,légumes,蔬菜,1.63
476,219,lettre,信；字母,1.63
477,219,lever(se),起床；起身，站起,1.64
478,219,libre,空闲的,1.64
479,219,lieu,地点，地方,1.63
480,219,ligne,线；运输线路,1.63
481,219,Lille,里尔（法国）,1.63
482,219,lire,读,1.63
483,219,liste,单子，清单,1.64
484,219,lit,床,1.64
485,219,litre,升,1.64
486,219,livre,书，书本，书籍,1.64
487,219,livre,半公斤；磅,1.64
488,219,loin,远,1.63
489,219,Londres,伦敦（英国）,1.63
490,219,long(ue),长的,1.64
491,219,longtemps,长时间地,1.64
492,219,louer,出租；租用,1.63
493,219,lundi,星期一；周一,1.63
494,219,lunettes,眼镜,1.63
495,219,madame (mesdames),夫人,1.64
496,219,magasin,商店,1.64
497,219,magazine,杂志,1.63
498,219,magnifique,壮丽的；豪华的；极美的，极好的；非凡的,1.14
499,219,mai,五月,1.63
500,219,maintenant,现在，目前,1.63
501,219,mais,可是，但是，然而；在某些惊叹句或疑问句中，表示惊讶、怀疑、愤慨等情绪,1.63
502,219,maison,房子；家,1.63
503,219,malade,生病的,1.64
504,219,manger,吃,1.63
505,219,marché,市场；集市,1.63
506,219,marcher,走，行走,1.63
507,219,mardi,周二,1.64
508,219,mari,丈夫,1.63
509,219,mariage,结婚,1.63
510,219,Marianne,玛丽安娜（法国共和国的象征）,1.63
511,219,marier(se),结婚,1.63
512,219,Maroc,摩洛哥,1.63
513,219,Marseille,马赛（法国）,1.63
514,219,match,比赛,1.63
515,219,matin,早晨,1.63
516,219,mauvais(e),坏的，不好的,1.63
517,219,médecin,医生,1.63
518,219,méditerranéen(enne),地中海的,1.63
519,219,même,同样的；相同的,1.63
520,219,ménage,家务,1.63
521,219,faire le ménage,做清洁，打扫屋子,1.60
522,220,mer,大海,1.64
523,220,merci,谢谢,1.64
524,220,mercredi,周三,1.64
525,220,météo,气象预报（的缩写）,1.64
526,220,bulletin météo,天气预报,1.15
527,220,mètre,米,1.65
528,220,mètre carré,平方米,1.62
529,220,métro,地铁,1.65
530,220,mettre,放置，摆放,1.64
531,220,meuble,家具,1.65
532,220,midi,中午，正午,1.65
533,220,minéral(e),矿物质的；含矿物质的,1.65
534,220,eau minérale,矿泉水,1.62
535,220,ministère,部；部委,1.65
536,220,minute,分钟,1.65
537,220,mois,月，月份,1.65
538,220,môme,《俗》小孩；小家伙,1.65
539,220,moment,时刻,1.65
540,220,monde,世界；人们,1.65
541,220,monsieur,先生,1.65
542,220,montagne,山,1.65
543,220,monter,登上，上升,1.65
544,220,Montréal,蒙特利尔（加拿大）,1.65
545,220,mot,词语,1.65
546,220,moto,摩托车,1.65
547,220,moyenne,中等；平均数，平均值,1.65
548,220,en moyenne,平均,1.61
549,220,muguet,铃兰,1.65
550,220,mur,墙，壁,1.64
551,220,musculation,肌肉锻炼,1.64
552,220,musée,博物馆,1.64
553,220,musicien(ne),音乐家，作曲家，演奏家,1.64
554,220,musique,音乐，乐曲,1.64
555,220,nager,游泳,1.64
556,220,natation,游泳,1.64
557,220,nationalité,国籍,1.64
558,220,nature,自然（界），大自然,1.64
559,220,Nice,尼斯（法国）,1.64
560,220,Nîmes,尼姆（法国）,1.64
561,220,Noël,圣诞节,1.64
562,220,noir(e),黑的，黑色的,1.64
563,220,nom,姓名；名字,1.64
564,220,nombre,数；数目，数量,1.64
565,220,non,不；不是；没有,1.64
566,220,nord,北，北边，北方,1.65
567,220,Notre-Dame,圣母院,1.65
568,220,"nouveau(nouvel, nouvelle)",新的,1.65
569,220,nouvel an,新年,1.62
570,220,nouvelle,新闻，消息,1.65
571,220,nuage,云,1.65
572,220,objet,物，物体；物品，东西,1.65
573,220,océan,海洋,1.65
574,220,octobre,十月,1.65
575,220,œil (yeux),眼睛,0.91
576,220,œuf (œufs),鸡蛋,0.91
577,220,office,事务所，营业所,1.65
578,220,offrir,赠送，提供,1.65
579,220,oh,啊！哦！呦！哎呀,1.65
580,220,opéra,歌剧；歌剧院,1.65
581,220,orange,柑，橘，橙,1.65
582,220,ordinateur,电脑,1.65
583,220,organisé(e),有组织的；安排好的,1.64
584,220,original(e),独到的，新颖的,1.64
585,220,ou,或，或者，还是（表示选择）,1.64
586,220,où,在哪儿，去哪里,1.64
587,220,ouais,《俗》哦,1.64
588,220,ouest,西，西边，西方,1.64
589,220,oui,对，是的,1.64
590,220,ouvert(e),打开的；开放的，开门营业的,1.64
591,220,ouvrir,开，打开；开办，创立,1.64
592,220,page,页,1.64
593,220,pain,面包,1.64
594,220,palais,宫殿，王宫；高大华丽的建筑物,1.64
595,220,pantalon,长裤,1.64
596,220,papa,爸爸,1.64
597,220,par,经过，通过，从（表示地点）,1.64
598,220,parapluie,雨伞,1.64
599,220,parc,公园,1.64
600,220,parce que,因为,1.64
601,220,pardon,原谅，饶恕，宽恕,1.64
602,220,parents,父母,1.64
603,220,parfait(e),完美的,1.64
604,220,parfois,有时,1.64
605,220,Paris,巴黎（法国）,1.63
606,221,parking,停车场,1.63
607,221,parler,说话；讲话；交谈,1.63
608,221,parler de qn / qch.,谈到某人某事，议论某人某事,1.60
609,221,parler à qn,对某人说话,1.60
610,221,parler de... à qn,同某人谈论某人或某事,1.59
611,221,particulier(ère),特殊的；私人的独特的,1.63
612,221,partir,出发，离开,1.63
613,221,passer,经过；路过,1.63
614,221,se passer,发生，经过（主语多为事件）,1.60
615,221,pâtes,面条,1.63
616,221,pâtisserie,糕点店,1.63
617,221,pause,暂停，间断，休息,1.63
618,221,pause-café,《俗》咖啡休息时间,1.64
619,221,pays,国家,1.64
620,221,peintre,画家，画师,1.64
621,221,peinture,绘画；油画；油漆，涂料,1.64
622,221,pendant,在期间,1.64
623,221,pendule,挂钟，座钟；钟摆,1.64
624,221,penser,想；思考；认为,1.63
625,221,permis(e),被容许的,1.64
626,221,personne,人,1.64
627,221,petit(e),小的；矮小的,1.64
628,221,petit(-)déjeuner,早餐,1.64
629,221,peu,少，不多；不大，不太,1.64
630,221,un peu,一点儿，一下，少许，稍微,1.60
631,221,peut-être,也许,1.64
632,221,photo,摄影；照片,1.65
633,221,phrase,句子，词句，语句,1.64
634,221,pièce,房间,1.64
635,221,pied,脚，足,1.64
636,221,piscine,游泳池,1.64
637,221,pizza,比萨饼,1.64
638,221,placard,壁橱,1.64
639,221,place,地方，位置；（演出场地的）座位；广场,1.64
640,221,sur place,就地，原地，现场,1.61
641,221,plage,沙滩,1.64
642,221,plan,平面图,1.62
643,221,plat,菜肴,1.63
644,221,pleuvoir,下雨,1.63
645,221,pluie,雨,1.63
646,221,plusieurs,几个，好几个,1.63
647,221,poème,诗歌,1.63
648,221,poète,诗人,1.63
649,221,point de vue,观点，视角,1.14
650,221,poisson,鱼,1.63
651,221,pollution,污染,1.63
652,221,pomme,苹果,1.63
653,221,pomme de terre,土豆,1.59
654,221,pont,桥,1.63
655,221,port,港口,1.63
656,221,portable,手机；笔记本电脑,1.63
657,221,porter,穿戴，佩戴,1.63
658,221,portrait-robot,（警方综合搜捕对象的特征所制的）模拟画像,1.63
659,221,poser,提出（问题）,1.63
660,221,possible,可能的,1.63
661,221,postal(e),邮政的，邮务的,1.63
662,221,poste,邮局,1.63
663,221,pour,给；为了；对于,1.63
664,221,pourcentage,百分比，百分率,1.63
665,221,pourquoi,为什么,1.63
666,221,pouvoir,能，会；可以,1.63
667,221,pratique,好用的，方便的,1.63
668,221,préféré(e),最受人喜爱的,1.63
669,221,préférer,更喜欢，偏爱,1.63
670,221,premier(ère),第一的,1.63
671,221,prendre,搭乘；选取（道路，路线）；拿；吃，喝，服用,1.63
672,221,prénom,名字,1.63
673,221,préparer,准备,1.64
674,221,présentation,外表，仪表,1.63
675,221,présenter,展示；介绍,1.64
676,221,principalement,主要地,1.63
677,221,prison,监狱,1.63
678,221,privé(e),私人的,1.64
679,221,probable,很有可能的,1.64
680,221,problème,问题,1.64
681,222,prochain(e),下一个的,1.65
682,222,prof,《俗》教师；教授,1.65
683,222,professeur,中学教师；大学教授；教员，教练,1.65
684,222,profession,职业,1.65
685,222,projet,计划,1.65
686,222,promenade,散步；散步场所，散步大道,1.65
687,222,promener(se),散步,1.65
688,222,publicité,广告,1.65
689,222,puis,然后,1.65
690,222,pull,《俗》套头毛衣,1.65
691,222,quai,站台；堤岸,1.65
692,222,qualité,品质，质量,1.65
693,222,quand,什么时候；当……时,1.65
694,222,quartier,街区,1.65
695,222,québécois(e),魁北克的,1.65
696,222,quelque chose (=qch.),某个东西，某物,1.65
697,222,questionnaire,调查问卷,1.65
698,222,quitter,离开,1.65
699,222,raconter,讲述,1.64
700,222,radio,无线电广播；无线电广播电台,1.65
701,222,raison,理智，理性；道理,1.65
702,222,avoir raison,有理，正确,1.62
703,222,rappeler,再打电话给某人,1.64
