序号,法语词条,原书页码
307,époque,217
308,erreur,217
309,espace,217
310,espace vert,217
311,espagnol,217
312,Espagnol(e),217
313,espagnol(e),217
314,essayer,217
315,essayer de faire qch.,217
316,est,217
317,et,217
318,étage,217
319,étagère,217
320,été,217
321,étranger,217
322,à l'étranger,217
323,étranger(ère),217
324,être,217
325,étudiant(e),217
326,euro,217
327,Europe,217
328,éviter,217
329,exactement,217
330,excellent(e),217
331,excuser,217
332,exister,217
333,expérience,217
334,fabriquer,217
335,fac,217
336,face,217
337,facile,217
338,facilement,217
339,faire,217
340,fait,217
341,fait divers,217
342,familier(ère),217
343,famille,217
344,fan,217
345,fantastique,217
346,farine,217
347,fatigué(e),217
348,fauteuil,217
349,félicitations,217
350,femme,217
351,fenêtre,217
352,fête,217
353,fêter,217
354,feu,217
355,feu d'artifice,217
356,fille,217
357,film,217
358,fils,217
359,finalement,217
360,fini(e),217
361,Finlande,217
362,fixe,217
363,beau fixe,217
364,fleur,217
365,fois,217
366,foot,217
367,footing,217
368,français,217
369,Français(e),217
370,français(e),218
371,France,218
372,fromage,218
373,fruit,218
374,gagner,218
375,garçon,218
376,gare,218
377,gâteau,218
378,gauche,218
379,à gauche (de),218
380,"général(e), généraux",218
381,en général,218
382,Genève,218
383,gens,218
384,glace,218
385,glissant(e),218
386,golf,218
387,goût,218
388,gramme,218
389,grand(e),218
390,grand-mère (grands-mères),218
391,grand-père (grands-pères),218
392,gratuit(e),218
393,gris(e),218
394,groupe,218
395,guerre,218
396,guitare,218
397,guyanais(e),218
398,gymnastique,218
399,habiller(s'),218
400,habiter,218
401,habitude,218
402,habituel(le),218
403,haut(e),218
404,hélicoptère,218
405,heure,218
406,heurter,218
407,heureux(euse),218
408,hier,218
409,histoire,218
410,Hollande,218
411,homme,218
412,horaire,218
413,hôtel,218
414,hôtel de ville,218
415,hum,218
416,ici,218
417,idéal(e),218
418,idée,218
419,il faut,218
420,il y a,218
421,île,218
422,imaginer,218
423,immeuble,218
424,immobilier(ère),218
425,important(e),218
426,inconvénient,218
427,indispensable,218
428,informaticien(ienne),218
429,inquiéter(s'),218
430,inspecteur(trice),218
431,inspecteur de police,218
432,installer,218
433,institut,218
434,interdit(e),218
435,intéressant(e),218
436,Internet,218
437,interview,218
438,invité(e),218
439,inviter,218
440,Irlande,218
441,italien,218
442,Italien(ne),218
443,italien(ne),218
444,janvier,219
445,Japon,219
446,Japonais(e),219
447,japonais(e),219
448,jardin,219
449,jean,219
450,jeudi,219
451,joli(e),219
452,jouer,219
453,jouet,219
454,jour,219
455,du jour,219
456,journal,219
457,journaliste,219
458,journée,219
459,juillet,219
460,juin,219
461,jupe,219
462,jus,219
463,jusque,219
464,juste,219
465,kilo,219
466,kilomètre,219
467,là,219
468,là-bas,219
469,laisser,219
470,lait,219
471,langue,219
472,Lausanne,219
473,laver(se),219
474,lecture,219
475,légumes,219
476,lettre,219
477,lever(se),219
478,libre,219
479,lieu,219
480,ligne,219
481,Lille,219
482,lire,219
483,liste,219
484,lit,219
485,litre,219
486,livre,219
487,livre,219
488,loin,219
489,Londres,219
490,long(ue),219
491,longtemps,219
492,louer,219
493,lundi,219
494,lunettes,219
495,madame (mesdames),219
496,magasin,219
497,magazine,219
498,magnifique,219
499,mai,219
500,maintenant,219
501,mais,219
502,maison,219
503,malade,219
504,manger,219
505,marché,219
506,marcher,219
507,mardi,219
508,mari,219
509,mariage,219
510,Marianne,219
511,marier(se),219
512,Maroc,219
513,Marseille,219
514,match,219
515,matin,219
516,mauvais(e),219
517,médecin,219
518,méditerranéen(enne),219
519,même,219
520,ménage,219
521,faire le ménage,219
522,mer,220
523,merci,220
524,mercredi,220
525,météo,220
526,bulletin météo,220
527,mètre,220
528,mètre carré,220
529,métro,220
530,mettre,220
531,meuble,220
532,midi,220
533,minéral(e),220
534,eau minérale,220
535,ministère,220
536,minute,220
537,mois,220
538,môme,220
539,moment,220
540,monde,220
541,monsieur,220
542,montagne,220
543,monter,220
544,Montréal,220
545,mot,220
546,moto,220
547,moyenne,220
548,en moyenne,220
549,muguet,220
550,mur,220
551,musculation,220
552,musée,220
553,musicien(ne),220
554,musique,220
555,nager,220
556,natation,220
557,nationalité,220
558,nature,220
559,Nice,220
560,Nîmes,220
561,Noël,220
562,noir(e),220
563,nom,220
564,nombre,220
565,non,220
566,nord,220
567,Notre-Dame,220
568,"nouveau(nouvel, nouvelle)",220
569,nouvel an,220
570,nouvelle,220
571,nuage,220
572,objet,220
573,océan,220
574,octobre,220
575,œil (yeux),220
576,œuf (œufs),220
577,office,220
578,offrir,220
579,oh,220
580,opéra,220
581,orange,220
582,ordinateur,220
583,organisé(e),220
584,original(e),220
585,ou,220
586,où,220
587,ouais,220
588,ouest,220
589,oui,220
590,ouvert(e),220
591,ouvrir,220
592,page,220
593,pain,220
594,palais,220
595,pantalon,220
596,papa,220
597,par,220
598,parapluie,220
599,parc,220
600,parce que,220
601,pardon,220
602,parents,220
603,parfait(e),220
604,parfois,220
605,Paris,220
606,parking,221
607,parler,221
608,parler de qn / qch.,221
609,parler à qn,221
610,parler de... à qn,221
611,particulier(ère),221
612,partir,221
613,passer,221
614,se passer,221
615,pâtes,221
616,pâtisserie,221
617,pause,221
618,pause-café,221
619,pays,221
620,peintre,221
621,peinture,221
622,pendant,221
623,pendule,221
624,penser,221
625,permis(e),221
626,personne,221
627,petit(e),221
628,petit(-)déjeuner,221
629,peu,221
630,un peu,221
631,peut-être,221
632,photo,221
633,phrase,221
634,pièce,221
635,pied,221
636,piscine,221
637,pizza,221
638,placard,221
639,place,221
640,sur place,221
641,plage,221
642,plan,221
643,plat,221
644,pleuvoir,221
645,pluie,221
646,plusieurs,221
647,poème,221
648,poète,221
649,point de vue,221
650,poisson,221
651,pollution,221
652,pomme,221
653,pomme de terre,221
654,pont,221
655,port,221
656,portable,221
657,porter,221
658,portrait-robot,221
659,poser,221
660,possible,221
661,postal(e),221
662,poste,221
663,pour,221
664,pourcentage,221
665,pourquoi,221
666,pouvoir,221
667,pratique,221
668,préféré(e),221
669,préférer,221
670,premier(ère),221
671,prendre,221
672,prénom,221
673,préparer,221
674,présentation,221
675,présenter,221
676,principalement,221
677,prison,221
678,privé(e),221
679,probable,221
680,problème,221
681,prochain(e),222
682,prof,222
683,professeur,222
684,profession,222
685,projet,222
686,promenade,222
687,promener(se),222
688,publicité,222
689,puis,222
690,pull,222
691,quai,222
692,qualité,222
693,quand,222
694,quartier,222
695,québécois(e),222
696,quelque chose (=qch.),222
697,questionnaire,222
698,quitter,222
699,raconter,222
700,radio,222
701,raison,222
702,avoir raison,222
703,rappeler,222
704,se rappeler,222
705,récent(e),222
706,réception,222
707,réceptionniste,222
708,rechercher,222
709,recommencer,222
710,regarder,222
711,remercier,222
712,rencontrer,222
713,se rencontrer,222
714,rendez-vous,222
715,sur rendez-vous,222
716,renseignement,222
717,rentrer,222
718,repas,222
719,répondre (à),222
720,réponse,222
721,reportage,222
722,reposer(se),222
723,reprendre,222
724,république,222
725,réserver,222
726,résidence,222
727,responsable,222
728,restaurant,222
729,reste,222
730,rester,222
731,résultat,222
732,retourner,222
733,retraite,222
734,retrouver,222
735,réunion,222
736,réussir,222
737,revenir,222
738,rêver,222
739,rez-de-chaussée,222
740,riz,222
741,robe,222
742,Rochelle (La),222
743,rollers,222
744,romantique,222
745,roue,222
746,rouge,222
747,rouler,222
748,route,222
749,rue,222
750,sac,222
751,Saint-Étienne,222
752,Saint-Valentin (la),223
753,salade,223
754,salle,223
755,salle de bains,223
756,salon,223
757,salut,223
758,samedi,223
759,savoir,223
760,sculpteur(trice),223
761,secondaire,223
762,secrétaire,223
763,semaine,223
764,Sénégal,223
765,septembre,223
766,seul(e),223
767,"serveur,se",223
768,seulement,223
769,sexe,223
770,shopping,223
771,Sicile (la),223
772,s'il vous plaît,223
773,simple,223
774,ski,223
775,slam,223
776,SNCF,223
777,société,223
778,sœur,223
779,soir,223
780,soirée,223
781,soleil,223
782,sombre,223
783,sondage,223
784,sortir,223
785,souriant(e),223
786,sous,223
787,souvenir,223
788,souvenir(se),223
789,souvent,223
790,sport,223
791,sportif(ive),223
792,Strasbourg,223
793,stress,223
794,sucre,223
795,sud,223
796,Suisse,223
797,suivre,223
798,super,223
799,supermarché,223
800,supprimer,223
801,sur,223
802,sûr(e),223
803,bien sûr,223
804,surprise,223
805,symbole,223
806,sympa,223
807,table,223
808,tableau,223
809,tableau,223
810,taille,223
811,tapis,223
812,tard,223
813,tarif,223
814,taxi,223
815,tee-shirt,223
816,téléphone,223
817,téléphoner,223
818,téléphoner à qn,223
819,télévision,223
820,témoignage,223
821,température,223
822,temps,223
823,tenir,223
824,tennis,223
825,terminer(se),223
826,terrasse,223
827,terrible,224
828,terrifié(e),224
829,texte,224
830,TGV,224
831,thé,224
832,théâtre,224
833,toilette,224
834,tomber,224
835,tôt,224
836,toujours,224
837,tour,224
838,tourisme,224
839,"tout (toute, tous, toutes)",224
840,tout de suite,224
841,train,224
842,tranquille,224
843,travail (travaux),224
844,faire des travaux,224
845,travailler,224
846,traverser,224
847,très,224
848,triomphe,224
849,troisième,224
850,trop,224
851,trouver,224
852,type,224
853,utiliser,224
854,vacances,224
855,vélo,224
856,Vendôme,224
857,vendre,224
858,vendredi,224
859,venir,224
860,verre,224
861,vers,224
862,vert(e),224
863,vêtement,224
864,viande,224
865,vie,224
866,Vienne,224
867,viennois(e),224
868,vieux (vieille),224
869,ville,224
870,vin,224
871,visiter,224
872,vite,224
873,vitesse,224
874,vivement,224
875,vivre,224
876,voici,224
877,voie,224
878,voilà,224
879,voir,224
880,voisin(e),224
881,voiture,224
882,volley-ball,224
883,vouloir,224
884,voyage,224
885,agence de voyages,224
886,voyager,224
887,vrai,224
888,vraiment,224
889,waouh,224
890,week-end,224
891,yaourt,224
